PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
Jock Landale,HOU,56,28,28,13.6,4.9,17.5,11.6,0.4,1.46,0.48,0.280,1.8,0.4,3.3,0.524,0.571,0.742
Joe Harris,DET,16,4,12,10.6,2.4,10.0,6.6,0.2,1.37,0.58,0.244,0.3,0.0,0.3,0.500,0.000,0.600
Joe Ingles,ORL,68,42,26,17.2,4.4,29.8,17.1,1.5,3.08,1.84,0.146,0.2,0.0,0.2,0.583,0.000,0.667
Joel Embiid,PHI,39,31,8,33.6,34.7,74.6,53.8,3.4,2.73,1.36,0.465,5.1,4.8,5.7,0.772,0.691,1.243
John Collins,UTA,67,27,40,27.9,15.0,44.9,23.9,1.2,1.62,0.62,0.335,1.4,1.0,5.6,0.839,0.656,1.064
John Konchar,MEM,55,18,37,21.3,4.3,34.7,17.1,1.3,2.27,1.48,0.123,0.4,0.0,1.7,0.857,0.000,0.458
Johnny Davis,WAS,50,8,42,12.3,3.0,11.8,6.8,0.4,2.15,1.43,0.257,0.2,0.0,0.6,0.900,0.000,1.172
Johnny Juzang,UTA,19,5,14,19.2,7.5,18.8,13.3,0.7,2.08,1.33,0.397,0.3,0.0,0.6,0.400,0.000,0.818
Jonas Valanciunas,NOP,81,49,32,23.5,12.3,48.4,28.9,1.4,1.74,0.50,0.253,2.0,3.7,5.8,0.571,0.696,1.061
Jonathan Isaac,ORL,58,35,23,15.8,6.8,21.7,9.9,0.5,1.32,0.43,0.313,0.4,0.1,2.5,0.696,0.600,1.140
Jonathan Kuminga,GSW,73,40,33,26.3,15.9,46.0,24.1,2.1,2.79,2.05,0.346,1.3,1.9,3.3,0.849,0.564,0.967
Jontay Porter,TOR,25,6,19,14.4,4.6,27.8,16.7,0.8,1.63,0.54,0.166,1.7,0.6,2.6,0.186,0.133,0.621
Jordan Clarkson,UTA,54,22,32,30.6,17.0,50.6,34.0,3.2,3.74,2.95,0.336,1.1,0.1,1.5,0.661,0.667,0.756
Jordan Ford,SAC,6,2,4,3.6,2.0,7.5,2.3,0.6,4.69,4.73,0.267,0.0,0.0,0.0,0.000,0.000,0.000
Jordan Goodwin,MEM,57,30,27,18.5,6.5,39.3,16.6,2.6,3.91,3.64,0.164,0.4,0.0,1.6,0.571,0.000,0.589
Jordan Hawkins,NOP,66,38,28,17.4,7.9,22.9,15.7,0.7,1.83,1.28,0.344,0.2,0.0,0.3,0.733,0.000,0.571
Jordan McLaughlin,MIN,56,35,21,11.2,3.5,23.7,10.2,1.4,3.66,3.33,0.147,0.3,0.0,0.4,0.500,0.000,0.667
Jordan Miller,LAC,7,4,3,3.9,1.9,4.7,2.0,0.2,2.65,2.00,0.394,0.1,0.0,0.4,0.000,0.000,1.333
Jordan Nwora,TOR,51,14,37,13.7,6.9,22.0,13.0,0.9,2.35,1.63,0.315,0.3,0.1,1.0,1.118,2.000,1.096
Jordan Poole,WAS,78,15,63,30.1,17.4,53.7,25.2,3.8,4.25,3.89,0.324,0.4,0.0,0.5,0.969,0.000,1.024
Jordan Walsh,BOS,9,9,0,9.3,1.7,9.2,5.9,0.3,1.76,0.96,0.181,0.1,0.0,0.4,2.000,0.000,0.500
Jose Alvarado,NOP,55,38,17,18.3,7.1,35.0,15.3,2.1,3.55,3.46,0.202,0.3,0.0,0.6,0.667,0.000,0.839
Josh Giddey,OKC,80,56,24,25.1,12.3,56.5,27.7,2.8,3.00,2.31,0.218,1.2,0.3,2.3,0.653,0.200,0.696
Josh Green,DAL,56,31,25,26.4,8.2,32.8,15.4,1.4,2.59,1.90,0.251,0.6,0.0,1.1,0.484,0.000,0.492
Josh Hart,NYK,81,49,32,33.4,9.4,55.5,28.8,2.3,2.51,1.88,0.169,0.8,0.1,1.9,0.615,0.857,0.607
Josh Minott,MIN,32,23,9,2.9,1.6,3.9,2.3,0.2,2.54,1.62,0.400,0.2,0.0,0.5,0.571,0.000,0.625
Josh Okogie,PHX,60,37,23,16.0,4.6,18.4,10.1,0.6,2.09,1.39,0.252,0.3,0.0,1.5,0.200,0.000,0.833
Josh Richardson,MIA,43,24,19,25.6,9.9,42.2,20.2,2.4,3.38,2.65,0.234,0.3,0.0,0.8,0.500,2.000,1.000
Joshua Primo,LAC,2,2,0,5.1,1.0,2.5,2.0,0.1,1.65,1.60,0.400,0.0,0.0,0.0,0.000,0.000,0.000
Jrue Holiday,BOS,68,52,16,32.8,12.4,53.8,20.9,3.2,3.60,3.21,0.231,1.0,0.7,2.2,0.385,0.625,0.705
Juan Toscano-Anderson,SAC,11,7,4,4.8,0.6,6.8,3.6,0.2,1.76,1.05,0.093,0.1,0.0,0.7,0.000,0.000,0.500
Jules Bernard,WAS,19,2,17,7.9,3.9,11.9,5.8,0.7,3.75,2.97,0.327,0.1,0.0,0.5,0.000,0.000,1.000
Julian Champagnie,SAS,73,18,55,19.6,6.7,25.5,14.0,0.7,1.64,0.78,0.261,0.3,0.0,1.0,0.739,0.000,0.632
Julian Phillips,CHI,39,20,19,8.1,2.3,8.1,4.9,0.2,1.51,0.74,0.282,0.1,0.0,0.5,0.000,0.000,0.850
Julian Strawther,DEN,48,32,16,11.1,4.7,16.0,11.0,0.6,2.19,1.60,0.296,0.2,0.0,0.3,0.750,0.000,0.769
Julius Randle,NYK,46,29,17,35.4,24.0,72.5,48.6,3.8,3.15,2.19,0.330,2.0,2.8,3.6,0.556,0.473,1.067
Justin Champagnie,WAS,15,3,12,15.7,5.9,23.5,10.8,0.7,1.87,0.89,0.252,0.3,0.0,1.7,1.200,0.000,0.846
Justin Holiday,DEN,57,37,20,14.7,4.1,15.0,9.9,0.4,1.59,0.88,0.270,0.4,0.0,0.4,0.760,0.000,0.609
Justin Jackson,MIN,2,2,0,0.4,0.0,0.0,0.0,0.0,0.00,0.00,0.000,0.0,0.0,0.0,0.000,0.000,0.000
Justin Minaya,POR,34,3,31,11.2,1.8,12.9,7.9,0.4,2.03,1.44,0.139,0.1,0.0,0.8,0.000,0.000,0.407
Jusuf Nurkic,PHX,75,48,27,27.3,10.9,55.5,30.6,1.7,1.83,0.75,0.197,3.6,2.7,7.3,0.498,0.595,0.798
KJ Martin,PHI,60,33,27,12.4,3.7,14.7,8.4,0.3,1.30,0.65,0.255,0.6,0.0,1.8,0.333,0.000,0.869
Kaiser Gates,NOP,1,0,1,7.4,0.0,14.0,7.0,0.3,1.21,0.14,0.000,0.0,0.0,1.0,0.000,0.000,0.000
Karl-Anthony Towns,MIN,62,42,20,32.7,21.8,53.2,36.2,1.9,2.13,0.91,0.409,2.2,2.9,2.8,0.748,0.637,0.932
Kawhi Leonard,LAC,67,43,24,34.2,23.8,53.7,34.3,3.3,3.73,2.96,0.443,2.6,2.3,2.8,0.678,0.397,0.989
Keegan Murray,SAC,77,43,34,33.6,15.2,43.2,30.7,1.4,1.93,1.15,0.353,0.7,0.1,2.2,0.811,0.833,0.862
Keita Bates-Diop,BKN,53,29,24,12.5,3.7,13.3,6.9,0.5,2.15,1.19,0.279,0.3,0.0,1.1,0.333,2.000,0.842
Keldon Johnson,SAS,68,16,52,29.5,15.6,49.8,25.7,2.2,2.68,1.78,0.314,0.6,0.2,1.9,0.658,0.286,0.931
